animal_type,age,sex,intake_condition,season,adopted
cat,0,Neutered,injured  mild,Fall,Yes
cat,4,Male,under age/weight,Summer,No
dog,9,Male,normal,Spring,No
dog,10,Spayed,injured  moderate,Winter,No
cat,5,Female,normal,Summer,No
dog,10,Male,normal,Summer,No
cat,1,Female,under age/weight,Summer,Yes
cat,7,Male,under age/weight,Fall,No
cat,1,Spayed,normal,Summer,Yes
dog,4,Female,normal,Fall,No
dog,8,Female,injured  moderate,Fall,No
bird,4,Unknown,injured  moderate,Fall,No
cat,6,Female,normal,Summer,No
dog,7,Female,under age/weight,Summer,No
cat,6,Male,under age/weight,Spring,No
cat,6,Male,normal,Summer,No
cat,6,Female,normal,Summer,No
dog,6,Neutered,normal,Winter,Yes
cat,8,Male,normal,Winter,No
cat,0,Neutered,under age/weight,Winter,Yes
cat,0,Spayed,under age/weight,Winter,Yes
cat,4,Neutered,normal,Fall,Yes
dog,8,Male,injured  severe,Fall,No
wild,4,Unknown,under age/weight,Spring,No
cat,4,Unknown,under age/weight,Summer,No
dog,4,Female,normal,Winter,No
cat,6,Female,under age/weight,Summer,No
cat,6,Female,under age/weight,Summer,No
cat,0,Male,ill severe,Fall,No
cat,12,Neutered,ill severe,Summer,Yes
dog,8,Male,injured  mild,Fall,No
cat,6,Female,under age/weight,Spring,No
cat,5,Spayed,normal,Fall,Yes
cat,0,Neutered,ill severe,Fall,No
cat,0,Spayed,under age/weight,Summer,No
cat,8,Unknown,ill severe,Spring,No
wild,3,Unknown,injured  moderate,Spring,No
bird,6,Unknown,injured  severe,Summer,No
cat,4,Neutered,injured  moderate,Summer,No
dog,4,Male,Other,Winter,No
dog,8,Male,normal,Spring,No
dog,7,Neutered,normal,Summer,Yes
cat,5,Spayed,normal,Winter,Yes
dog,9,Neutered,normal,Spring,No
cat,5,Male,normal,Summer,No
cat,1,Spayed,injured  moderate,Summer,Yes
cat,4,Male,under age/weight,Fall,No
dog,12,Male,injured  severe,Spring,No
cat,5,Female,normal,Summer,No
dog,11,Neutered,normal,Winter,Yes
cat,6,Male,under age/weight,Summer,No
dog,6,Neutered,ill mild,Winter,No
cat,5,Neutered,normal,Winter,No
cat,4,Female,under age/weight,Fall,No
cat,4,Male,under age/weight,Fall,No
cat,0,Spayed,injured  moderate,Fall,Yes
cat,2,Spayed,normal,Summer,Yes
cat,1,Unknown,ill severe,Fall,No
cat,9,Male,injured  mild,Winter,No
cat,8,Female,ill severe,Summer,No
cat,0,Female,under age/weight,Summer,No
cat,2,Male,under age/weight,Summer,No
cat,2,Male,ill moderatete,Summer,No
dog,5,Male,normal,Summer,No
dog,25,Spayed,ill severe,Summer,No
cat,11,Neutered,normal,Fall,No
dog,9,Neutered,normal,Fall,No
dog,5,Neutered,normal,Spring,Yes
dog,3,Male,normal,Fall,No
cat,2,Female,normal,Winter,No
dog,5,Female,normal,Fall,No
dog,4,Spayed,normal,Winter,Yes
Other,7,Female,normal,Spring,No
dog,3,Spayed,normal,Summer,Yes
cat,7,Male,ill severe,Summer,No
Other,12,Unknown,injured  moderate,Summer,No
cat,2,Neutered,injured  moderate,Winter,No
dog,9,Neutered,normal,Fall,Yes
cat,8,Male,normal,Fall,No
Other,8,Male,normal,Spring,No
bird,3,Unknown,ill severe,Winter,No
cat,23,Female,normal,Summer,No
dog,3,Male,normal,Winter,No
cat,0,Male,ill severe,Summer,No
cat,6,Female,normal,Spring,No
dog,1,Spayed,normal,Summer,Yes
dog,6,Male,injured  mild,Fall,No
cat,2,Neutered,under age/weight,Summer,Yes
cat,8,Spayed,normal,Fall,No
dog,6,Female,normal,Fall,No
cat,3,Neutered,normal,Winter,No
dog,15,Female,normal,Winter,No
cat,15,Male,normal,Fall,No
cat,3,Female,normal,Fall,No
cat,1,Spayed,under age/weight,Fall,No
cat,12,Neutered,normal,Winter,Yes
cat,1,Neutered,under age/weight,Fall,No
cat,4,Male,normal,Fall,No
dog,10,Neutered,normal,Summer,Yes
dog,11,Neutered,normal,Spring,No
cat,5,Spayed,ill moderatete,Fall,No
bird,0,Unknown,injured  moderate,Summer,No
cat,7,Male,under age/weight,Fall,No
cat,7,Neutered,normal,Winter,Yes
dog,5,Female,normal,Summer,No
wild,6,Male,injured  severe,Winter,No
dog,5,Female,normal,Summer,No
cat,0,Female,under age/weight,Summer,No
cat,0,Female,under age/weight,Summer,No
cat,5,Female,normal,Winter,No
cat,0,Female,under age/weight,Summer,No
cat,0,Male,under age/weight,Summer,No
dog,1,Neutered,normal,Summer,No
dog,10,Male,normal,Fall,No
cat,4,Neutered,injured  moderate,Fall,Yes
Other,7,Female,normal,Winter,No
dog,1,Spayed,normal,Winter,Yes
dog,2,Female,injured  mild,Summer,No
Other,7,Female,normal,Winter,No
cat,13,Neutered,normal,Summer,Yes
cat,6,Female,under age/weight,Spring,No
dog,3,Neutered,normal,Spring,No
cat,5,Spayed,fractious,Summer,No
cat,0,Neutered,ill mild,Fall,Yes
cat,4,Female,normal,Summer,No
cat,4,Male,fractious,Summer,No
cat,7,Male,injured  moderate,Fall,No
dog,2,Neutered,i/i report,Winter,No
dog,1,Neutered,normal,Spring,Yes
dog,6,Spayed,normal,Spring,No
bird,7,Unknown,ill severe,Spring,No
dog,2,Spayed,normal,Summer,Yes
cat,18,Neutered,injured  mild,Summer,No
cat,6,Female,under age/weight,Summer,No
cat,9,Neutered,ill moderatete,Summer,No
cat,6,Female,under age/weight,Summer,No
cat,5,Neutered,injured  severe,Fall,Yes
dog,4,Spayed,injured  mild,Fall,Yes
dog,4,Neutered,normal,Fall,Yes
cat,7,Neutered,fractious,Winter,Yes
cat,5,Female,under age/weight,Spring,No
dog,1,Spayed,normal,Spring,Yes
dog,4,Neutered,normal,Spring,Yes
cat,7,Male,normal,Summer,No
dog,0,Neutered,normal,Winter,No
cat,4,Male,normal,Fall,Yes
dog,6,Male,normal,Winter,No
dog,1,Female,under age/weight,Winter,No
other,6,Female,injured  severe,Summer,No
dog,1,Female,under age/weight,Winter,No
cat,2,Spayed,ill severe,Winter,Yes
Other,7,Unknown,normal,Fall,No
cat,0,Female,under age/weight,Fall,No
cat,1,Male,under age/weight,Spring,No
dog,1,Neutered,normal,Summer,Yes
dog,4,Male,injured  mild,Spring,No
cat,5,Male,injured  severe,Spring,No
cat,0,Female,ill severe,Summer,No
cat,6,Female,under age/weight,Summer,No
dog,1,Female,normal,Summer,No
cat,6,Male,under age/weight,Summer,No
other,7,Unknown,injured  moderate,Spring,No
cat,5,Neutered,normal,Summer,No
cat,6,Male,under age/weight,Summer,No
cat,5,Male,normal,Summer,No
dog,14,Spayed,ill moderatete,Summer,No
dog,2,Male,normal,Summer,No
cat,6,Spayed,fractious,Summer,No
cat,8,Male,ill moderatete,Fall,No
dog,8,Female,normal,Winter,No
cat,4,Female,ill severe,Fall,No
cat,7,Female,normal,Winter,No
cat,7,Neutered,normal,Summer,Yes
cat,7,Female,normal,Summer,No
dog,11,Female,behavior  moderate,Winter,Yes
cat,7,Male,under age/weight,Summer,No
dog,6,Female,normal,Winter,No
other,6,Unknown,normal,Spring,No
cat,7,Male,under age/weight,Summer,No
bird,6,Unknown,normal,Spring,No
cat,15,Spayed,normal,Fall,No
cat,10,Spayed,normal,Winter,No
dog,14,Spayed,Other,Spring,No
cat,9,Neutered,feral,Summer,No
cat,0,Spayed,under age/weight,Fall,Yes
cat,9,Spayed,normal,Winter,No
cat,8,Spayed,normal,Fall,No
dog,3,Female,normal,Spring,No
cat,7,Female,injured  severe,Summer,No
cat,1,Spayed,under age/weight,Summer,Yes
dog,12,Neutered,normal,Summer,No
dog,8,Neutered,normal,Summer,Yes
dog,8,Neutered,normal,Summer,Yes
cat,5,Female,injured  severe,Fall,No
cat,5,Female,under age/weight,Summer,No
dog,9,Female,normal,Fall,No
cat,5,Neutered,under age/weight,Fall,Yes
Other,10,Unknown,under age/weight,Summer,No
bird,8,Male,normal,Summer,No
cat,11,Neutered,fractious,Winter,No
dog,2,Female,normal,Winter,No
cat,3,Male,normal,Winter,No
dog,2,Female,normal,Winter,No
dog,3,Spayed,normal,Fall,Yes
cat,3,Neutered,under age/weight,Fall,Yes
dog,6,Neutered,normal,Summer,Yes
dog,2,Male,normal,Summer,No
cat,1,Spayed,under age/weight,Fall,Yes
cat,6,Spayed,under age/weight,Winter,Yes
dog,6,Female,i/i report,Spring,No
dog,1,Female,under age/weight,Spring,No
dog,1,Neutered,normal,Summer,Yes
dog,2,Neutered,normal,Fall,Yes
